Time	Fx	Fy	Fz	COPx	COPy	COPz	Ty
1	-184.63	328.67	-72.78	2591.73	0	1134.51	-15305.2
2	-194.63	348.66	-66.45	2514.68	0	1123.29	9418.18
3	-96.66	400.85	-45.39	2546.33	0	1136.36	-29979.2
4	-47.38	491.49	-19.99	2493.38	0	1127.69	12225.3
5	-36.24	552.83	-20.07	2500.02	0	1129.17	21395
6	-40.36	689.39	-33.26	2461.4	0	1122.47	4535.98
7	-86.75	786.13	-17.4	2442.53	0	1126.27	34288.9
8	-95.44	842.44	-82.32	2460.99	0	1118.35	-24974.3
9	-137.63	952.45	-36.09	2402.62	0	1116.94	5745.69
10	-115.2	912.93	-20.14	2436.08	0	1116.58	42782.6
11	-116.81	990.75	1.14	2410.7	0	1111.32	-5710.14
12	-122.45	937.81	28.84	2412.29	0	1118.76	20457.9
13	-123.83	977.33	36.54	2402.32	0	1107.33	23288
14	-135.35	985.26	35.25	2398.19	0	1115.18	5528.95
15	-126.95	976.56	29.53	2400.92	0	1115.83	33635.3
16	-129.09	1044.77	18.54	2374.18	0	1108.69	9514.3
17	-117.65	1017.3	5.11	2393.69	0	1116.67	1528.31
18	-122.83	1096.5	6.03	2356.81	0	1112.33	26452.1
19	-118.94	1097.56	-18.77	2373.02	0	1110.34	-101.61
20	-125.66	1156.01	-4.65	2358.99	0	1113.62	12971.7
21	-118.33	1158.6	-26.02	2349.11	0	1113.29	15563.8
22	-111.77	1174.32	-46.92	2347.68	0	1110.47	-3640.36
23	-117.26	1198.88	-27.08	2329.68	0	1113.25	19204.8
24	-83.31	1194.31	-39.6	2336.6	0	1113.36	14444.6
25	-111.16	1249.39	-31.66	2320.85	0	1112.69	8374.53
26	-94.76	1221.92	-37.69	2314.37	0	1112.76	18776.3
27	-75.38	1273.04	-30.75	2305.48	0	1108.5	10966.8
28	-103.84	1241.76	-32.12	2298.03	0	1113.87	19330.9
29	-63.4	1255.95	-25.18	2305.51	0	1109.81	15861.5
30	-85.98	1262.21	-26.32	2284.15	0	1110.2	14403.5
31	-63.4	1239.62	-27.01	2286.93	0	1113.17	15618.5
32	-53.86	1278.23	-24.72	2276.9	0	1105.59	19463.7
33	-59.59	1238.4	-26.86	2280.61	0	1112.01	16504.9
34	-42.04	1263.43	-26.78	2261.54	0	1107.87	15286.6
35	-47.45	1247.86	-32.73	2254.45	0	1108.34	21674.2
36	-29.22	1253.2	-23.04	2259.54	0	1109.05	14845
37	-22.96	1243.29	-36.7	2235.66	0	1105.93	20252.5
38	-13.96	1230.01	-31.81	2239.97	0	1108.79	15091.4
39	-4.65	1231.23	-33.95	2229.39	0	1107.5	18076.3
40	11.22	1213.84	-33.42	2221.91	0	1107.42	17618.4
41	19	1216.43	-33.8	2213.31	0	1105.49	16436.4
42	30.14	1186.98	-26.86	2205.49	0	1107.7	17607.4
43	51.35	1178.74	-31.43	2204.68	0	1103.11	14835.3
44	48.37	1170.35	-25.41	2192.31	0	1104.98	17584.6
45	71.33	1132.97	-22.81	2188.07	0	1105.28	15364.6
46	74.16	1121.52	-24.64	2174.84	0	1101.36	16997.2
47	76.98	1095.43	-17.17	2173.3	0	1104.06	15681.4
48	102.16	1058.81	-21.74	2159.86	0	1100.02	16381
49	98.11	1050.26	-5.34	2155.36	0	1101.09	15388.1
50	103.23	998.99	-12.13	2151.6	0	1101.24	18676.7
51	117.87	980.38	-8.93	2130.74	0	1099.09	15587.7
52	120.47	946.5	-0.46	2148.41	0	1097.83	14010.7
53	118.48	912.48	-5.72	2112.49	0	1096.73	16559.5
54	143.36	890.35	4.43	2129.43	0	1096.8	9399.49
55	123.52	818.18	-6.79	2111.09	0	1093.84	20950.6
56	142.52	819.7	16.71	2107.45	0	1099.05	9272.28
57	141.14	737.3	0.46	2100.05	0	1095.72	14111.6
58	132.22	735.32	9.77	2086.23	0	1092.64	13391.9
59	147.02	662.54	8.32	2094.89	0	1096.62	11417.1
60	130.84	629.73	5.8	2073.25	0	1089.24	18927.7
61	133.44	602.87	17.4	2074.19	0	1093.22	9410.39
62	133.51	540.62	6.64	2065.8	0	1092.76	12291.4
63	124.05	523.22	18.16	2062.12	0	1090.08	8823.04
64	120.01	445.86	6.03	2044	0	1095.04	12574.3
65	119.71	440.37	12.66	2045.04	0	1090.85	5963.79
66	109.79	382.23	8.39	2047.24	0	1089.02	11329.8
67	99.72	338.44	8.01	2025.65	0	1099.25	8710.9
68	90.79	325.47	9	2038.93	0	1090.3	7694.55
69	92.32	271.45	2.37	2023.97	0	1090.21	13049.8
70	77.21	266.57	11.98	2010.3	0	1093.27	5160.07
71	78.89	211.94	-0.08	2004.48	0	1088.81	11906.8
72	65.54	205.84	9.84	2012.26	0	1095.61	8146.65
73	63.55	167.08	-1.14	2029.87	0	1100.04	8539.54
74	63.48	148.16	2.21	1931.02	0	1112.14	10018.5
75	48.22	157.01	9.38	2083.15	0	1107.05	4047.09
76	47.3	87.59	-8.47	1912.15	0	1111.61	12580
77	53.94	137.63	11.67	2079.71	0	1085.3	5929.14
78	17.78	52.95	-4.96	1747.41	0	1176.82	10830.4
79	53.02	104.52	6.26	2131.35	0	1060.51	7600.4
80	16.86	47.3	-4.81	1878.86	0	1133.79	12931.8
81	24.19	50.2	-3.2	1932.21	0	1092.17	8733.49
82	39.52	58.75	9.54	2187.92	0	1076.39	7801.01
83	-0	-0	-0	2149	0	976.7	-0
84	30.21	49.29	5.26	2179.56	0	1061.15	4649.11
85	-0	-0	-0	2149	0	976.7	-0
86	-0	-0	-0	2149	0	976.7	-0
87	-0	-0	-0	2149	0	976.7	-0
88	0	0	0	2149	0	976.7	0
89	-0	-0	-0	2149	0	976.7	-0
90	-0	-0	-0	2149	0	976.7	-0
91	-0	-0	-0	2149	0	976.7	-0
92	-0	-0	-0	2149	0	976.7	-0
93	-0	-0	-0	2149	0	976.7	-0
94	-0	-0	-0	2149	0	976.7	-0
95	-0	-0	-0	2149	0	976.7	-0
96	-0	-0	-0	2149	0	976.7	-0
97	-0	-0	-0	2149	0	976.7	-0
98	-0	-0	-0	2149	0	976.7	-0
99	-0	-0	-0	2149	0	976.7	-0
100	-0	-0	-0	2149	0	976.7	-0
101	-0	-0	-0	2149	0	976.7	-0
102	-0	-0	-0	2149	0	976.7	-0
103	-0	-0	-0	2149	0	976.7	-0
104	-0	-0	-0	2149	0	976.7	-0
105	-0	-0	-0	2149	0	976.7	-0
106	-0	-0	-0	2149	0	976.7	-0
107	-0	-0	-0	2149	0	976.7	-0
108	-0	-0	-0	2149	0	976.7	-0
109	-0	-0	-0	2149	0	976.7	-0
110	-0	-0	-0	2149	0	976.7	-0
111	-36.09	63.93	-10.83	2603.78	0	939.99	2654.72
112	-68.05	91.4	-5.26	2466.55	0	952.37	-2087.27
113	-39.29	117.34	22.13	2602.63	0	980.68	-7099.6
114	-104.6	233.15	57.07	2463.21	0	981.81	11748.4
115	-145.19	279.54	49.44	2538.59	0	965.06	29841.7
116	-132.52	338.75	71.56	2473.76	0	985.41	-10220.4
117	-138.4	333.71	85.07	2522.71	0	989.35	24592.3
