Devices,,,,,,,,,,,,,
1000,,,,,,,,,,,,,
,,Fx1 - Voltage,Fy1 - Voltage,Fz1 - Voltage,Fx2 - Voltage,Fy2 - Voltage,Fz2 - Voltage,Fx3 - Voltage,Fy3 - Voltage,Fz3 - Voltage,Fx4 - Voltage,Fy4 - Voltage,Fz4 - Voltage
Frame,Sub Frame,Fx1,Fy1,Fz1,Fx2,Fy2,Fz2,Fx3,Fy3,Fz3,Fx4,Fy4,Fz4
,,V,V,V,V,V,V,V,V,V,V,V,V
1933,8,0.387297,-0.329547,0.274612,-0.301675,-0.315415,0.383583,-0.480646,0.0335049,-0.0755432,0.35451,-0.638919,0.278464
1933,9,0.385771,-0.45589,0.371964,-0.34501,-0.321213,0.414711,-0.567316,-0.027225,-0.00596313,0.329486,-0.743289,0.342551
1934,0,0.329008,-0.649982,0.485794,-0.390481,-0.364243,0.519386,-0.593866,-0.112369,0.0437805,0.257464,-0.90198,0.489951
1934,1,0.298491,-0.903583,0.647842,-0.415811,-0.381333,0.594765,-0.651849,-0.21857,0.13045,0.15401,-1.02252,0.569601
1934,2,0.259428,-1.12026,0.766556,-0.47532,-0.374924,0.659462,-0.723566,-0.291202,0.164325,0.11037,-1.14673,0.645895
1934,3,0.35739,-1.27407,0.85994,-0.622109,-0.393235,0.735146,-0.889276,-0.322635,0.184772,0.181476,-1.23523,0.70632
1934,4,0.55789,-1.39064,0.990555,-0.837563,-0.414902,0.790382,-1.12151,-0.34003,0.20705,0.346576,-1.2276,0.706015
1934,5,0.794707,-1.43123,1.1227,-1.07621,-0.531785,0.906044,-1.35681,-0.362918,0.240924,0.597125,-1.26056,0.745993
1934,6,1.04404,-1.45565,1.31007,-1.26328,-0.668503,0.970741,-1.55334,-0.401981,0.308063,0.800677,-1.34845,0.800619
1934,7,1.18777,-1.42452,1.40346,-1.39909,-0.837266,1.05222,-1.65374,-0.441654,0.373065,0.933734,-1.50012,0.8879
1934,8,1.1896,-1.48494,1.50661,-1.44364,-0.928208,1.09556,-1.68914,-0.505435,0.461871,0.919085,-1.61304,0.936118
1934,9,1.02267,-1.59236,1.58992,-1.37406,-0.955674,1.14317,-1.57562,-0.466068,0.497272,0.719806,-1.76532,1.02035
1935,0,0.72177,-1.72176,1.65645,-1.16349,-0.919053,1.17826,-1.32995,-0.40076,0.566241,0.428058,-1.96491,1.08779
1935,1,0.44528,-1.81667,1.72511,-0.887612,-0.886704,1.2103,-1.03484,-0.231082,0.583026,0.108539,-2.13489,1.10274
1935,2,0.1752,-1.87709,1.78218,-0.641946,-0.904404,1.25913,-0.755914,-0.0821567,0.566852,-0.173139,-2.30365,1.15462
1935,3,-0.0631424,-1.98696,1.86671,-0.436257,-0.896165,1.27134,-0.565179,-0.0781894,0.584247,-0.421247,-2.3653,1.18362
1935,4,-0.244112,-2.11666,1.93782,-0.317849,-0.908677,1.30125,-0.414423,-0.187442,0.655353,-0.605268,-2.42328,1.22787
1935,5,-0.291109,-2.27565,2.03059,-0.272683,-0.937363,1.33024,-0.346063,-0.330265,0.740497,-0.642499,-2.45533,1.24923
1935,6,-0.230379,-2.3965,2.10536,-0.265359,-0.954453,1.34824,-0.318292,-0.444706,0.817401,-0.550641,-2.3949,1.17171
1935,7,-0.0506302,-2.41237,2.11269,-0.303201,-0.988328,1.3574,-0.374139,-0.503299,0.838153,-0.405378,-2.36286,1.11739
1935,8,0.0635056,-2.42977,2.11818,-0.343484,-0.924546,1.30521,-0.404657,-0.542667,0.815265,-0.25279,-2.23316,1.02126
1935,9,0.13278,-2.44075,2.1078,-0.359048,-0.887314,1.31528,-0.439447,-0.610111,0.811298,-0.192975,-2.07752,0.954428
1936,0,0.104704,-2.47158,2.15938,-0.337075,-0.895859,1.35831,-0.403741,-0.772769,0.830829,-0.207013,-1.98017,1.03774
1936,1,0.0671677,-2.4609,2.24391,-0.256814,-0.967576,1.39768,-0.309137,-0.995243,0.917499,-0.26164,-1.91822,1.12594
1936,2,0.0924973,-2.35317,2.28755,-0.160378,-1.17906,1.48191,-0.181268,-1.20917,1.0063,-0.243329,-1.89594,1.18148
1936,3,0.155669,-2.23506,2.31776,-0.0654688,-1.35667,1.50327,-0.115045,-1.35871,1.03865,-0.224713,-1.85474,1.20132
1936,4,0.155363,-2.18013,2.29366,-0.0178613,-1.38628,1.45353,-0.0787292,-1.50031,1.04171,-0.229901,-1.80042,1.2007
1936,5,0.135527,-2.22286,2.24025,0.0111304,-1.34416,1.43766,-0.0750671,-1.59674,1.06154,-0.211591,-1.75495,1.16408
1936,6,0.246001,-2.32509,2.25673,-0.0261011,-1.30266,1.44102,-0.138544,-1.59858,1.06032,-0.102948,-1.78394,1.14272
1936,7,0.47946,-2.36354,2.26955,-0.117349,-1.34386,1.48435,-0.252985,-1.64344,1.0652,0.137225,-1.84528,1.16439
